game_pk,game_type,season,game_date,game_date1,game_date2,game_number,scheduled_innings,innings_played,status_code,home_team,away_team,home_score,away_score
631631,R,2020,2020-08-10 23:30:00+00:00,2020-08-10 23:30:00+00:00,,1,9,,S,182.0,181.0,,
631632,R,2020,2020-09-20 00:15:00+00:00,2020-09-20 00:15:00+00:00,,1,9,,S,176.0,165.0,,
631633,R,2020,2020-08-22 00:15:00+00:00,2020-08-22 00:15:00+00:00,,1,9,,S,176.0,163.0,,
631634,R,2020,2020-09-11 00:15:00+00:00,2020-09-11 00:15:00+00:00,,1,9,,S,176.0,177.0,,
631635,R,2020,2020-09-20 17:35:00+00:00,2020-09-20 17:35:00+00:00,,1,9,,S,182.0,187.0,,
631636,R,2020,2020-09-22 23:30:00+00:00,2020-09-22 23:30:00+00:00,,1,9,,S,182.0,189.0,,
631637,R,2020,2020-09-23 23:30:00+00:00,2020-09-23 23:30:00+00:00,,1,9,,S,182.0,189.0,,
631638,R,2020,2020-08-23 00:15:00+00:00,2020-08-23 00:15:00+00:00,,1,9,,S,176.0,163.0,,
631639,R,2020,2020-08-23 18:20:00+00:00,2020-08-23 18:20:00+00:00,,1,9,,S,176.0,163.0,,
631640,R,2020,2020-09-24 23:30:00+00:00,2020-09-24 23:30:00+00:00,,1,9,,S,182.0,189.0,,
631641,R,2020,2020-07-24 23:10:00+00:00,2020-07-24 23:10:00+00:00,,1,9,9.0,F,176.0,161.0,3.0,0.0
631642,R,2020,2020-07-25 17:05:00+00:00,2020-07-25 17:05:00+00:00,,1,9,9.0,F,176.0,161.0,3.0,8.0
631643,R,2020,2020-07-26 18:20:00+00:00,2020-07-26 18:20:00+00:00,,1,9,9.0,F,176.0,161.0,9.0,1.0
631644,R,2020,2020-09-05 00:15:00+00:00,2020-09-05 00:15:00+00:00,,1,9,,S,176.0,170.0,,
631645,R,2020,2020-08-04 00:15:00+00:00,2020-08-04 00:15:00+00:00,,1,9,9.0,F,176.0,174.0,2.0,0.0
631646,R,2020,2020-08-11 23:30:00+00:00,2020-08-11 23:30:00+00:00,,1,9,,S,182.0,181.0,,
631647,R,2020,2020-08-01 00:15:00+00:00,2020-08-01 00:15:00+00:00,,1,9,9.0,F,176.0,167.0,6.0,3.0
631648,R,2020,2020-08-12 23:30:00+00:00,2020-08-12 23:30:00+00:00,,1,9,,S,182.0,181.0,,
631649,R,2020,2020-09-04 23:30:00+00:00,2020-09-04 23:30:00+00:00,,1,9,,S,182.0,185.0,,
631650,R,2020,2020-08-13 20:30:00+00:00,2020-08-13 20:30:00+00:00,,1,9,,S,182.0,181.0,,
631651,R,2020,2020-08-18 23:30:00+00:00,2020-08-18 23:30:00+00:00,,1,9,,S,182.0,186.0,,
631652,R,2020,2020-08-19 17:35:00+00:00,2020-08-19 17:35:00+00:00,,1,9,,S,182.0,186.0,,
631653,R,2020,2020-08-28 23:30:00+00:00,2020-08-28 23:30:00+00:00,,1,9,,S,182.0,180.0,,
631654,R,2020,2020-08-29 23:30:00+00:00,2020-08-29 23:30:00+00:00,,1,9,,S,182.0,180.0,,
631655,R,2020,2020-08-30 17:35:00+00:00,2020-08-30 17:35:00+00:00,,1,9,,S,182.0,180.0,,
631656,R,2020,2020-08-31 23:30:00+00:00,2020-08-31 23:30:00+00:00,,1,9,,S,182.0,164.0,,
631657,R,2020,2020-09-01 23:30:00+00:00,2020-09-01 23:30:00+00:00,,1,9,,S,182.0,164.0,,
631658,R,2020,2020-08-08 23:30:00+00:00,2020-08-08 23:30:00+00:00,,1,9,,S,182.0,185.0,,
631659,R,2020,2020-09-16 23:35:00+00:00,2020-09-16 23:35:00+00:00,,1,9,,S,189.0,164.0,,
631660,R,2020,2020-09-17 23:35:00+00:00,2020-09-17 23:35:00+00:00,,1,9,,S,189.0,181.0,,
631661,R,2020,2020-09-18 23:35:00+00:00,2020-09-18 23:35:00+00:00,,1,9,,S,189.0,181.0,,
631662,R,2020,2020-09-19 23:35:00+00:00,2020-09-19 23:35:00+00:00,,1,9,,S,189.0,181.0,,
631663,R,2020,2020-07-28 23:30:00+00:00,2020-07-28 23:30:00+00:00,,1,9,9.0,F,182.0,175.0,3.0,8.0
631664,R,2020,2020-07-24 23:30:00+00:00,2020-07-24 23:30:00+00:00,,1,9,9.0,F,182.0,189.0,13.0,2.0
631665,R,2020,2020-08-21 23:35:00+00:00,2020-08-21 23:35:00+00:00,,1,9,,S,189.0,182.0,,
631666,R,2020,2020-07-25 17:35:00+00:00,2020-07-25 17:35:00+00:00,,1,9,9.0,F,182.0,189.0,2.0,7.0
631667,R,2020,2020-08-22 23:35:00+00:00,2020-08-22 23:35:00+00:00,,1,9,,S,189.0,182.0,,
631668,R,2020,2020-07-26 17:35:00+00:00,2020-07-26 17:35:00+00:00,,1,9,9.0,F,182.0,189.0,4.0,7.0
631669,R,2020,2020-07-27 23:35:00+00:00,2020-07-27 23:35:00+00:00,,1,9,9.0,F,182.0,175.0,4.0,7.0
631670,R,2020,2020-08-23 17:05:00+00:00,2020-08-23 17:05:00+00:00,,1,9,,S,189.0,182.0,,
631671,R,2020,2020-09-01 23:35:00+00:00,2020-09-01 23:35:00+00:00,,1,9,,S,189.0,175.0,,
631672,R,2020,2020-09-20 17:05:00+00:00,2020-09-20 17:05:00+00:00,,1,9,,S,189.0,181.0,,
631673,R,2020,2020-09-02 23:35:00+00:00,2020-09-02 23:35:00+00:00,,1,9,,S,189.0,175.0,,
631674,R,2020,2020-09-04 21:05:00+00:00,2020-09-04 21:05:00+00:00,,1,7,,S,189.0,187.0,,
631675,R,2020,2020-09-05 23:35:00+00:00,2020-09-05 23:35:00+00:00,,1,9,,S,189.0,187.0,,
631676,R,2020,2020-09-06 17:05:00+00:00,2020-09-06 17:05:00+00:00,,1,9,,S,189.0,187.0,,
631677,R,2020,2020-09-14 23:35:00+00:00,2020-09-14 23:35:00+00:00,,1,9,,S,189.0,164.0,,
631678,R,2020,2020-08-17 23:35:00+00:00,2020-08-17 23:35:00+00:00,,1,9,,S,189.0,185.0,,
631679,R,2020,2020-08-16 17:05:00+00:00,2020-08-16 17:05:00+00:00,,1,9,,S,189.0,180.0,,
631680,R,2020,2020-09-15 23:35:00+00:00,2020-09-15 23:35:00+00:00,,1,9,,S,189.0,164.0,,
631681,R,2020,2020-08-18 23:35:00+00:00,2020-08-18 23:35:00+00:00,,1,9,,S,189.0,185.0,,
631682,R,2020,2020-08-19 17:05:00+00:00,2020-08-19 17:05:00+00:00,,1,9,,S,189.0,185.0,,
631683,R,2020,2020-08-14 23:35:00+00:00,2020-08-14 23:35:00+00:00,,1,9,,S,189.0,180.0,,
631684,R,2020,2020-08-20 23:35:00+00:00,2020-08-20 23:35:00+00:00,,1,9,,S,189.0,182.0,,
631685,R,2020,2020-09-24 23:10:00+00:00,2020-09-24 23:10:00+00:00,,1,9,,S,164.0,162.0,,
